Pure Tag,Edited Version (if appl.) –,I. Parents,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Comedy Rock,Comedy Rock,Musical Comedy,Musical Comedy,Comedy,,,,,,,,,,
Country Soul,C0untry Soul,Soul,R&B,Soul,,,,,,,,,,
Crunkcore,Crunkcore,Crunk,Hip Hop,Crunk,,,,,,,,,,
Dancefloor Drum and Bass,Dancefloor Drum and Bass,Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,
Deep Funk,Deep Funk,Funk,R&B,Funk,,,,,,,,,,
Deep House,Deep House,House,EDM,House,Dance,Electronic,,,,,,,,
Deep Soul,Deep Soul,Soul,R&B,Soul,,,,,,,,,,
Depressive Black Metal,Depressive Black Metal,Black Metal,Black Metal,Metal,Rock,,,,,,,,,
Detroit Techno,Detroit Techno,Techno,EDM,Techno,Dance,Electronic,,,,,,,,
Dream Pop,Dream P0p,Alternative Rock,Alternative Rock,Rock,,,,,,,,,,
Dream Trance,Dream Trance,Trance,EDM,Trance,Dance,Electronic,,,,,,,,
Drill and Bass,Drill and Bass,IDM,IDM,Electronic,,,,,,,,,,
Dutch House,Dutch House,House,EDM,House,Dance,Electronic,,,,,,,,
East African Music,East African Music,African Music,African Music,Regional Music,,,,,,,,,,
Electric Texas Blues,Electric Texas Blues,Electric Blues,Electric Blues,Blues,,,,,,,,,,
Electro House,Electro House,House,EDM,House,Dance,Electronic,,,,,,,,
Emo-Pop,Emo-P0p,Emo,Punk,Emo,,,,,,,,,,
Euro House,Euro House,House,EDM,House,Dance,Electronic,,,,,,,,
Euro-Disco,Euro-Disco,Disco,Dance,Disco,,,,,,,,,,
Euro-Trance,Euro-Trance,Trance,EDM,Trance,Dance,Electronic,,,,,,,,
Film Soundtrack,Film Soundtrack,Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,
Folk Baroque,Folk Baroque,Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,
Free Jazz,Free Jazz,Avant-Garde Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,
French House,French House,House,EDM,House,Dance,Electronic,,,,,,,,
Funky House,F–nky House,House,EDM,House,Dance,Electronic,,,,,,,,
Future Garage,Future Garage,UK Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,
